PLC ,B1   ,201809160536,121,1001001009
PLC ,B1   ,201809160537,115,1001001009
PLC ,B1   ,201809160538,127,1001001009
PLC ,B1   ,201809160539,120,1001001009
PLC ,B1   ,201809160540,115,1001001009
PLC ,B1   ,201809160541,103,1001001009
PLC ,B1   ,201809160542,110,1001001009
PLC ,B1   ,201809160543,129,1001001009
PLC ,B1   ,201809160544,171,1001001009
PLC ,B1   ,201809160545,141,1001001009
PLC ,B1   ,201809160546,112,1001001009
PLC ,B1   ,201809160547,95,1001001009
PLC ,B1   ,201809160548,108,1001001009
PLC ,B1   ,201809160549,120,1001001009
PLC ,B1   ,201809160550,123,1001001009
PLC ,B1   ,201809160551,117,1001001009
PLC ,B1   ,201809160552,116,1001001009
PLC ,B1   ,201809160553,129,1001001009
PLC ,B1   ,201809160554,125,1001001009
PLC ,B1   ,201809160555,144,1001001009
PLC ,B1   ,201809160556,109,1001001009
PLC ,B1   ,201809160557,109,1001001009
PLC ,B1   ,201809160558,102,1001001009
PLC ,B1   ,201809160559,123,1001001009
PLC ,B1   ,201809160600,126,1001001009
PLC ,B1   ,201809160601,120,1001001009
PLC ,B1   ,201809160602,133,1001001009
PLC ,B1   ,201809160603,96,1001001009
PLC ,B1   ,201809160604,113,1001001009
PLC ,B1   ,201809160605,156,1001001009
PLC ,B1   ,201809160606,123,1001001009
PLC ,B1   ,201809160607,136,1001001009
PLC ,B1   ,201809160608,135,1001001009
PLC ,B1   ,201809160609,126,1001001009
PLC ,B1   ,201809160610,120,1001001009
PLC ,B1   ,201809160611,109,1001001009
PLC ,B1   ,201809160612,95,1001001009
PLC ,B1   ,201809160613,108,1001001009
PLC ,B1   ,201809160614,137,1001001009
PLC ,B1   ,201809160615,128,1001001009
PLC ,B1   ,201809160616,137,1001001009
PLC ,B1   ,201809160617,122,1001001009
PLC ,B1   ,201809160618,120,1001001009
PLC ,B1   ,201809160619,150,1001001009
PLC ,B1   ,201809160620,128,1001001009
PLC ,B1   ,201809160621,124,1001001009
PLC ,B1   ,201809160622,135,1001001009
PLC ,B1   ,201809160623,126,1001001009
PLC ,B1   ,201809160624,73,1001001009
PLC ,B1   ,201809160625,112,1001001009
PLC ,B1   ,201809160626,92,1001001009
PLC ,B1   ,201809160627,110,1001001009
PLC ,B1   ,201809160628,132,1001001009
PLC ,B1   ,201809160629,93,1001001009
PLC ,B1   ,201809160630,129,1001001009
PLC ,B1   ,201809160631,129,1001001009
PLC ,B1   ,201809160632,124,1001001009
PLC ,B1   ,201809160633,128,1001001009
PLC ,B1   ,201809160634,135,1001001009
PLC ,B1   ,201809160635,119,1001001009
PLC ,B1   ,201809160636,137,1001001009
PLC ,B1   ,201809160637,161,1001001009
PLC ,B1   ,201809160638,159,1001001009
PLC ,B1   ,201809160639,159,1001001009
PLC ,B1   ,201809160640,141,1001001009
PLC ,B1   ,201809160641,183,1001001009
PLC ,B1   ,201809160642,145,1001001009
PLC ,B1   ,201809160643,207,1001001009
PLC ,B1   ,201809160644,179,1001001009
PLC ,B1   ,201809160645,167,1001001009
PLC ,B1   ,201809160646,102,1001001009
PLC ,B1   ,201809160647,132,1001001009
PLC ,B1   ,201809160648,139,1001001009
PLC ,B1   ,201809160649,188,1001001009
PLC ,B1   ,201809160650,155,1001001009
PLC ,B1   ,201809160651,127,1001001009
PLC ,B1   ,201809160652,159,1001001009
PLC ,B1   ,201809160653,146,1001001009
PLC ,B1   ,201809160654,136,1001001009
PLC ,B1   ,201809160655,191,1001001009
PLC ,B1   ,201809160656,173,1001001009
PLC ,B1   ,201809160657,186,1001001009
PLC ,B1   ,201809160658,172,1001001009
PLC ,B1   ,201809160659,156,1001001009
PLC ,B1   ,201809160700,137,1001001009
PLC ,B1   ,201809160701,113,1001001009
PLC ,B1   ,201809160702,161,1001001009
PLC ,B1   ,201809160703,135,1001001009
PLC ,B1   ,201809160704,147,1001001009
PLC ,B1   ,201809160705,118,1001001009
PLC ,B1   ,201809160706,102,1001001009
PLC ,B1   ,201809160707,166,1001001009
PLC ,B1   ,201809160708,166,1001001009
PLC ,B1   ,201809160709,164,1001001009
PLC ,B1   ,201809160710,159,1001001009
PLC ,B1   ,201809160711,176,1001001009
PLC ,B1   ,201809160712,163,1001001009
PLC ,B1   ,201809160713,160,1001001009
PLC ,B1   ,201809160714,145,1001001009
PLC ,B1   ,201809160715,131,1001001009
PLC ,B1   ,201809160716,120,1001001009
PLC ,B1   ,201809160717,115,1001001009
PLC ,B1   ,201809160718,114,1001001009
PLC ,B1   ,201809160719,117,1001001009
PLC ,B1   ,201809160720,167,1001001009
PLC ,B1   ,201809160721,138,1001001009
PLC ,B1   ,201809160722,127,1001001009
PLC ,B1   ,201809160723,146,1001001009
PLC ,B1   ,201809160724,165,1001001009
PLC ,B1   ,201809160725,177,1001001009
PLC ,B1   ,201809160726,133,1001001009
PLC ,B1   ,201809160727,157,1001001009
PLC ,B1   ,201809160728,170,1001001009
PLC ,B1   ,201809160729,178,1001001009
PLC ,B1   ,201809160730,179,1001001009
PLC ,B1   ,201809160731,164,1001001009
PLC ,B1   ,201809160732,168,1001001009
PLC ,B1   ,201809160733,138,1001001009
PLC ,B1   ,201809160734,135,1001001009
PLC ,B1   ,201809160735,162,1001001009
PLC ,B1   ,201809160736,159,1001001009
PLC ,B1   ,201809160737,128,1001001009
PLC ,B1   ,201809160738,135,1001001009
PLC ,B1   ,201809160739,158,1001001009
PLC ,B1   ,201809160740,160,1001001009
PLC ,B1   ,201809160741,135,1001001009
PLC ,B1   ,201809160742,156,1001001009
PLC ,B1   ,201809160743,157,1001001009
PLC ,B1   ,201809160744,154,1001001009
PLC ,B1   ,201809160745,148,1001001009
PLC ,B1   ,201809160746,158,1001001009
PLC ,B1   ,201809160747,163,1001001009
PLC ,B1   ,201809160748,156,1001001009
PLC ,B1   ,201809160749,168,1001001009
PLC ,B1   ,201809160750,147,1001001009
PLC ,B1   ,201809160751,141,1001001009
PLC ,B1   ,201809160752,157,1001001009
PLC ,B1   ,201809160753,153,1001001009
PLC ,B1   ,201809160754,162,1001001009
PLC ,B1   ,201809160755,125,1001001009
PLC ,B1   ,201809160756,153,1001001009
PLC ,B1   ,201809160757,200,1001001009
PLC ,B1   ,201809160758,145,1001001009
PLC ,B1   ,201809160759,195,1001001009
PLC ,B1   ,201809160800,184,1001001009
PLC ,B1   ,201809160801,145,1001001009
PLC ,B1   ,201809160802,178,1001001009
PLC ,B1   ,201809160803,191,1001001009
PLC ,B1   ,201809160804,213,1001001009
PLC ,B1   ,201809160805,205,1001001009
