TME ,B1   ,201809161030,13,1001003409
TME ,B1   ,201809161031,3,1001003409
TME ,B1   ,201809161032,8,1001003409
TME ,B1   ,201809161033,22,1001003409
TME ,B1   ,201809161034,21,1001003409
TME ,B1   ,201809161035,15,1001003409
TME ,B1   ,201809161036,6,1001003409
TME ,B1   ,201809161037,4,1001003409
TME ,B1   ,201809161038,10,1001003409
TME ,B1   ,201809161039,6,1001003409
TME ,B1   ,201809161040,6,1001003409
TME ,B1   ,201809161041,4,1001003409
TME ,B1   ,201809161042,6,1001003409
TME ,B1   ,201809161043,7,1001003409
TME ,B1   ,201809161044,8,1001003409
TME ,B1   ,201809161045,18,1001003409
TME ,B1   ,201809161046,15,1001003409
TME ,B1   ,201809161047,18,1001003409
TME ,B1   ,201809161048,18,1001003409
TME ,B1   ,201809161049,15,1001003409
TME ,B1   ,201809161050,27,1001003409
TME ,B1   ,201809161051,12,1001003409
TME ,B1   ,201809161052,11,1001003409
TME ,B1   ,201809161053,11,1001003409
TME ,B1   ,201809161054,11,1001003409
TME ,B1   ,201809161055,13,1001003409
TME ,B1   ,201809161056,6,1001003409
TME ,B1   ,201809161057,8,1001003409
TME ,B1   ,201809161058,12,1001003409
TME ,B1   ,201809161059,9,1001003409
TME ,B1   ,201809161100,6,1001003409
TME ,B1   ,201809161101,8,1001003409
TME ,B1   ,201809161102,8,1001003409
TME ,B1   ,201809161103,13,1001003409
TME ,B1   ,201809161104,11,1001003409
TME ,B1   ,201809161105,10,1001003409
