CP1 ,B1   ,201809160636,88,1001001009
CP1 ,B1   ,201809160637,74,1001001009
CP1 ,B1   ,201809160638,55,1001001009
CP1 ,B1   ,201809160639,45,1001001009
CP1 ,B1   ,201809160640,48,1001001009
CP1 ,B1   ,201809160641,59,1001001009
CP1 ,B1   ,201809160642,55,1001001009
CP1 ,B1   ,201809160643,61,1001001009
CP1 ,B1   ,201809160644,49,1001001009
CP1 ,B1   ,201809160645,32,1001001009
CP1 ,B1   ,201809160646,45,1001001009
CP1 ,B1   ,201809160647,86,1001001009
CP1 ,B1   ,201809160648,44,1001001009
CP1 ,B1   ,201809160649,68,1001001009
CP1 ,B1   ,201809160650,72,1001001009
CP1 ,B1   ,201809160651,51,1001001009
CP1 ,B1   ,201809160652,76,1001001009
CP1 ,B1   ,201809160653,56,1001001009
CP1 ,B1   ,201809160654,68,1001001009
CP1 ,B1   ,201809160655,50,1001001009
CP1 ,B1   ,201809160656,78,1001001009
CP1 ,B1   ,201809160657,84,1001001009
CP1 ,B1   ,201809160658,50,1001001009
CP1 ,B1   ,201809160659,53,1001001009
CP1 ,B1   ,201809160700,50,1001001009
CP1 ,B1   ,201809160701,64,1001001009
CP1 ,B1   ,201809160702,60,1001001009
CP1 ,B1   ,201809160703,59,1001001009
CP1 ,B1   ,201809160704,56,1001001009
CP1 ,B1   ,201809160705,44,1001001009
CP1 ,B1   ,201809160706,19,1001001009
CP1 ,B1   ,201809160707,53,1001001009
CP1 ,B1   ,201809160708,53,1001001009
CP1 ,B1   ,201809160709,20,1001001009
CP1 ,B1   ,201809160710,31,1001001009
CP1 ,B1   ,201809160711,91,1001001009
CP1 ,B1   ,201809160712,68,1001001009
CP1 ,B1   ,201809160713,86,1001001009
CP1 ,B1   ,201809160714,77,1001001009
CP1 ,B1   ,201809160715,55,1001001009
CP1 ,B1   ,201809160716,72,1001001009
CP1 ,B1   ,201809160717,39,1001001009
CP1 ,B1   ,201809160718,81,1001001009
CP1 ,B1   ,201809160719,109,1001001009
CP1 ,B1   ,201809160720,77,1001001009
CP1 ,B1   ,201809160721,86,1001001009
CP1 ,B1   ,201809160722,41,1001001009
CP1 ,B1   ,201809160723,69,1001001009
CP1 ,B1   ,201809160724,79,1001001009
CP1 ,B1   ,201809160725,47,1001001009
CP1 ,B1   ,201809160726,102,1001001009
CP1 ,B1   ,201809160727,61,1001001009
CP1 ,B1   ,201809160728,39,1001001009
CP1 ,B1   ,201809160729,41,1001001009
CP1 ,B1   ,201809160730,40,1001001009
CP1 ,B1   ,201809160731,87,1001001009
CP1 ,B1   ,201809160732,150,1001001009
CP1 ,B1   ,201809160733,77,1001001009
CP1 ,B1   ,201809160734,70,1001001009
CP1 ,B1   ,201809160735,88,1001001009
CP1 ,B1   ,201809160736,78,1001001009
CP1 ,B1   ,201809160737,87,1001001009
CP1 ,B1   ,201809160738,119,1001001009
CP1 ,B1   ,201809160739,64,1001001009
CP1 ,B1   ,201809160740,58,1001001009
CP1 ,B1   ,201809160741,111,1001001009
CP1 ,B1   ,201809160742,116,1001001009
CP1 ,B1   ,201809160743,89,1001001009
CP1 ,B1   ,201809160744,107,1001001009
CP1 ,B1   ,201809160745,75,1001001009
CP1 ,B1   ,201809160746,48,1001001009
CP1 ,B1   ,201809160747,62,1001001009
CP1 ,B1   ,201809160748,73,1001001009
CP1 ,B1   ,201809160749,111,1001001009
CP1 ,B1   ,201809160750,85,1001001009
CP1 ,B1   ,201809160751,78,1001001009
CP1 ,B1   ,201809160752,56,1001001009
CP1 ,B1   ,201809160753,120,1001001009
CP1 ,B1   ,201809160754,85,1001001009
CP1 ,B1   ,201809160755,75,1001001009
CP1 ,B1   ,201809160756,120,1001001009
CP1 ,B1   ,201809160757,81,1001001009
CP1 ,B1   ,201809160758,80,1001001009
CP1 ,B1   ,201809160759,108,1001001009
CP1 ,B1   ,201809160800,67,1001001009
CP1 ,B1   ,201809160801,92,1001001009
CP1 ,B1   ,201809160802,85,1001001009
CP1 ,B1   ,201809160803,73,1001001009
CP1 ,B1   ,201809160804,50,1001001009
CP1 ,B1   ,201809160805,89,1001001009
CP1 ,B1   ,201809160806,97,1001001009
CP1 ,B1   ,201809160807,94,1001001009
CP1 ,B1   ,201809160808,103,1001001009
CP1 ,B1   ,201809160809,88,1001001009
CP1 ,B1   ,201809160810,96,1001001009
CP1 ,B1   ,201809160811,94,1001001009
CP1 ,B1   ,201809160812,68,1001001009
CP1 ,B1   ,201809160813,69,1001001009
CP1 ,B1   ,201809160814,95,1001001009
CP1 ,B1   ,201809160815,82,1001001009
CP1 ,B1   ,201809160816,126,1001001009
CP1 ,B1   ,201809160817,70,1001001009
CP1 ,B1   ,201809160818,75,1001001009
CP1 ,B1   ,201809160819,65,1001001009
CP1 ,B1   ,201809160820,95,1001001009
CP1 ,B1   ,201809160821,75,1001001009
CP1 ,B1   ,201809160822,98,1001001009
CP1 ,B1   ,201809160823,56,1001001009
CP1 ,B1   ,201809160824,100,1001001009
CP1 ,B1   ,201809160825,99,1001001009
CP1 ,B1   ,201809160826,74,1001001009
CP1 ,B1   ,201809160827,78,1001001009
CP1 ,B1   ,201809160828,86,1001001009
CP1 ,B1   ,201809160829,113,1001001009
CP1 ,B1   ,201809160830,105,1001001009
CP1 ,B1   ,201809160831,131,1001001009
CP1 ,B1   ,201809160832,136,1001001009
CP1 ,B1   ,201809160833,101,1001001009
CP1 ,B1   ,201809160834,99,1001001009
CP1 ,B1   ,201809160835,113,1001001009
CP1 ,B1   ,201809160836,86,1001001009
CP1 ,B1   ,201809160837,118,1001001009
CP1 ,B1   ,201809160838,75,1001001009
CP1 ,B1   ,201809160839,76,1001001009
CP1 ,B1   ,201809160840,87,1001001009
CP1 ,B1   ,201809160841,60,1001001009
CP1 ,B1   ,201809160842,72,1001001009
CP1 ,B1   ,201809160843,112,1001001009
CP1 ,B1   ,201809160844,115,1001001009
CP1 ,B1   ,201809160845,67,1001001009
CP1 ,B1   ,201809160846,111,1001001009
CP1 ,B1   ,201809160847,96,1001001009
CP1 ,B1   ,201809160848,99,1001001009
CP1 ,B1   ,201809160849,81,1001001009
CP1 ,B1   ,201809160850,139,1001001009
CP1 ,B1   ,201809160851,130,1001001009
CP1 ,B1   ,201809160852,73,1001001009
CP1 ,B1   ,201809160853,77,1001001009
CP1 ,B1   ,201809160854,95,1001001009
CP1 ,B1   ,201809160855,95,1001001009
CP1 ,B1   ,201809160856,132,1001001009
CP1 ,B1   ,201809160857,102,1001001009
CP1 ,B1   ,201809160858,75,1001001009
CP1 ,B1   ,201809160859,99,1001001009
CP1 ,B1   ,201809160900,65,1001001009
CP1 ,B1   ,201809160901,134,1001001009
CP1 ,B1   ,201809160902,152,1001001009
CP1 ,B1   ,201809160903,130,1001001009
CP1 ,B1   ,201809160904,126,1001001009
CP1 ,B1   ,201809160905,99,1001001009
CP1 ,B1   ,201809160906,82,1001001009
CP1 ,B1   ,201809160907,118,1001001009
CP1 ,B1   ,201809160908,127,1001001009
CP1 ,B1   ,201809160909,84,1001001009
CP1 ,B1   ,201809160910,89,1001001009
CP1 ,B1   ,201809160911,114,1001001009
CP1 ,B1   ,201809160912,120,1001001009
CP1 ,B1   ,201809160913,175,1001001009
CP1 ,B1   ,201809160914,119,1001001009
CP1 ,B1   ,201809160915,112,1001001009
CP1 ,B1   ,201809160916,89,1001001009
CP1 ,B1   ,201809160917,173,1001001009
CP1 ,B1   ,201809160918,100,1001001009
CP1 ,B1   ,201809160919,125,1001001009
CP1 ,B1   ,201809160920,90,1001001009
CP1 ,B1   ,201809160921,107,1001001009
CP1 ,B1   ,201809160922,73,1001001009
CP1 ,B1   ,201809160923,143,1001001009
CP1 ,B1   ,201809160924,142,1001001009
CP1 ,B1   ,201809160925,129,1001001009
CP1 ,B1   ,201809160926,124,1001001009
CP1 ,B1   ,201809160927,117,1001001009
CP1 ,B1   ,201809160928,145,1001001009
CP1 ,B1   ,201809160929,119,1001001009
CP1 ,B1   ,201809160930,216,1001001009
CP1 ,B1   ,201809160931,139,1001001009
CP1 ,B1   ,201809160932,156,1001001009
CP1 ,B1   ,201809160933,148,1001001009
CP1 ,B1   ,201809160934,119,1001001009
CP1 ,B1   ,201809160935,134,1001001009
CP1 ,B1   ,201809160936,159,1001001009
CP1 ,B1   ,201809160937,159,1001001009
CP1 ,B1   ,201809160938,131,1001001009
CP1 ,B1   ,201809160939,182,1001001009
CP1 ,B1   ,201809160940,167,1001001009
CP1 ,B1   ,201809160941,94,1001001009
CP1 ,B1   ,201809160942,135,1001001009
CP1 ,B1   ,201809160943,122,1001001009
CP1 ,B1   ,201809160944,153,1001001009
CP1 ,B1   ,201809160945,123,1001001009
CP1 ,B1   ,201809160946,120,1001001009
CP1 ,B1   ,201809160947,131,1001001009
CP1 ,B1   ,201809160948,136,1001001009
CP1 ,B1   ,201809160949,192,1001001009
CP1 ,B1   ,201809160950,134,1001001009
CP1 ,B1   ,201809160951,129,1001001009
CP1 ,B1   ,201809160952,135,1001001009
CP1 ,B1   ,201809160953,117,1001001009
CP1 ,B1   ,201809160954,114,1001001009
CP1 ,B1   ,201809160955,114,1001001009
CP1 ,B1   ,201809160956,110,1001001009
CP1 ,B1   ,201809160957,148,1001001009
CP1 ,B1   ,201809160958,223,1001001009
CP1 ,B1   ,201809160959,212,1001001009
CP1 ,B1   ,201809161000,191,1001001009
CP1 ,B1   ,201809161001,162,1001001009
CP1 ,B1   ,201809161002,167,1001001009
CP1 ,B1   ,201809161003,107,1001001009
CP1 ,B1   ,201809161004,105,1001001009
CP1 ,B1   ,201809161005,149,1001001009
CP1 ,B1   ,201809161006,149,1001001009
CP1 ,B1   ,201809161007,194,1001001009
