CCH ,J1   ,201809160657,241,1101001009
CCH ,J1   ,201809160658,241,1101001009
CCH ,J1   ,201809160659,241,1101001009
CCH ,J1   ,201809160700,241,1101001009
CCH ,J1   ,201809160701,241,1101001009
CCH ,J1   ,201809160702,241,1101001009
CCH ,J1   ,201809160703,241,1101001009
CCH ,J1   ,201809160704,240,1101001009
CCH ,J1   ,201809160705,240,1101001009
CCH ,J1   ,201809160706,240,1101001009
CCH ,J1   ,201809160707,240,1101001009
CCH ,J1   ,201809160708,240,1101001009
CCH ,J1   ,201809160709,240,1101001009
CCH ,J1   ,201809160710,240,1101001009
CCH ,J1   ,201809160711,240,1101001009
CCH ,J1   ,201809160712,239,1101001009
CCH ,J1   ,201809160713,239,1101001009
CCH ,J1   ,201809160714,239,1101001009
CCH ,J1   ,201809160715,239,1101001009
CCH ,J1   ,201809160716,239,1101001009
CCH ,J1   ,201809160717,239,1101001009
CCH ,J1   ,201809160718,239,1101001009
CCH ,J1   ,201809160719,239,1101001009
CCH ,J1   ,201809160720,239,1101001009
CCH ,J1   ,201809160721,239,1101001009
CCH ,J1   ,201809160722,239,1101001009
CCH ,J1   ,201809160723,239,1101001009
CCH ,J1   ,201809160724,238,1101001009
CCH ,J1   ,201809160725,238,1101001009
CCH ,J1   ,201809160726,238,1101001009
CCH ,J1   ,201809160727,238,1101001009
CCH ,J1   ,201809160728,238,1101001009
CCH ,J1   ,201809160729,238,1101001009
CCH ,J1   ,201809160730,238,1101001009
CCH ,J1   ,201809160731,238,1101001009
CCH ,J1   ,201809160732,238,1101001009
CCH ,J1   ,201809160733,238,1101001009
CCH ,J1   ,201809160734,238,1101001009
CCH ,J1   ,201809160735,238,1101001009
CCH ,J1   ,201809160736,238,1101001009
CCH ,J1   ,201809160737,238,1101001009
CCH ,J1   ,201809160738,237,1101001009
CCH ,J1   ,201809160739,237,1101001009
CCH ,J1   ,201809160740,237,1101001009
CCH ,J1   ,201809160741,237,1101001009
CCH ,J1   ,201809160742,237,1101001009
CCH ,J1   ,201809160743,237,1101001009
CCH ,J1   ,201809160744,237,1101001009
CCH ,J1   ,201809160745,237,1101001009
CCH ,J1   ,201809160746,237,1101001009
CCH ,J1   ,201809160747,237,1101001009
CCH ,J1   ,201809160748,237,1101001009
CCH ,J1   ,201809160749,237,1101001009
CCH ,J1   ,201809160750,238,1101001009
CCH ,J1   ,201809160751,238,1101001009
CCH ,J1   ,201809160752,238,1101001009
CCH ,J1   ,201809160753,237,1101001009
CCH ,J1   ,201809160754,237,1101001009
CCH ,J1   ,201809160755,237,1101001009
CCH ,J1   ,201809160756,237,1101001009
CCH ,J1   ,201809160757,237,1101001009
CCH ,J1   ,201809160758,237,1101001009
CCH ,J1   ,201809160759,237,1101001009
CCH ,J1   ,201809160800,237,1101001009
CCH ,J1   ,201809160801,238,1101001009
CCH ,J1   ,201809160802,237,1101001009
CCH ,J1   ,201809160803,237,1101001009
CCH ,J1   ,201809160804,237,1101001009
CCH ,J1   ,201809160805,237,1101001009
CCH ,J1   ,201809160806,238,1101001009
CCH ,J1   ,201809160807,237,1101001009
CCH ,J1   ,201809160808,237,1101001009
CCH ,J1   ,201809160809,237,1101001009
CCH ,J1   ,201809160810,237,1101001009
CCH ,J1   ,201809160811,237,1101001009
CCH ,J1   ,201809160812,237,1101001009
CCH ,J1   ,201809160813,237,1101001009
CCH ,J1   ,201809160814,237,1101001009
CCH ,J1   ,201809160815,237,1101001009
CCH ,J1   ,201809160816,237,1101001009
CCH ,J1   ,201809160817,237,1101001009
CCH ,J1   ,201809160818,237,1101001009
CCH ,J1   ,201809160819,237,1101001009
CCH ,J1   ,201809160820,237,1101001009
CCH ,J1   ,201809160821,238,1101001009
CCH ,J1   ,201809160822,238,1101001009
CCH ,J1   ,201809160823,238,1101001009
CCH ,J1   ,201809160824,238,1101001009
CCH ,J1   ,201809160825,238,1101001009
CCH ,J1   ,201809160826,239,1101001009
CCH ,J1   ,201809160827,239,1101001009
CCH ,J1   ,201809160828,239,1101001009
CCH ,J1   ,201809160829,239,1101001009
CCH ,J1   ,201809160830,239,1101001009
CCH ,J1   ,201809160831,239,1101001009
CCH ,J1   ,201809160832,239,1101001009
CCH ,J1   ,201809160833,239,1101001009
CCH ,J1   ,201809160834,239,1101001009
CCH ,J1   ,201809160835,239,1101001009
CCH ,J1   ,201809160836,239,1101001009
CCH ,J1   ,201809160837,239,1101001009
CCH ,J1   ,201809160838,238,1101001009
CCH ,J1   ,201809160839,239,1101001009
CCH ,J1   ,201809160840,239,1101001009
CCH ,J1   ,201809160841,239,1101001009
CCH ,J1   ,201809160842,239,1101001009
CCH ,J1   ,201809160843,238,1101001009
CCH ,J1   ,201809160844,238,1101001009
CCH ,J1   ,201809160845,238,1101001009
CCH ,J1   ,201809160846,238,1101001009
CCH ,J1   ,201809160847,238,1101001009
CCH ,J1   ,201809160848,238,1101001009
CCH ,J1   ,201809160849,238,1101001009
CCH ,J1   ,201809160850,238,1101001009
CCH ,J1   ,201809160851,238,1101001009
CCH ,J1   ,201809160852,238,1101001009
CCH ,J1   ,201809160853,239,1101001009
CCH ,J1   ,201809160854,239,1101001009
CCH ,J1   ,201809160855,239,1101001009
CCH ,J1   ,201809160856,240,1101001009
CCH ,J1   ,201809160857,240,1101001009
CCH ,J1   ,201809160858,240,1101001009
CCH ,J1   ,201809160859,240,1101001009
CCH ,J1   ,201809160900,241,1101001009
CCH ,J1   ,201809160901,241,1101001009
CCH ,J1   ,201809160902,241,1101001009
CCH ,J1   ,201809160903,241,1101001009
CCH ,J1   ,201809160904,241,1101001009
CCH ,J1   ,201809160905,241,1101001009
CCH ,J1   ,201809160906,241,1101001009
CCH ,J1   ,201809160907,241,1101001009
CCH ,J1   ,201809160908,241,1101001009
CCH ,J1   ,201809160909,241,1101001009
CCH ,J1   ,201809160910,242,1101001009
CCH ,J1   ,201809160911,242,1101001009
CCH ,J1   ,201809160912,242,1101001009
CCH ,J1   ,201809160913,242,1101001009
CCH ,J1   ,201809160914,242,1101001009
CCH ,J1   ,201809160915,242,1101001009
CCH ,J1   ,201809160916,242,1101001009
CCH ,J1   ,201809160917,242,1101001009
CCH ,J1   ,201809160918,242,1101001009
CCH ,J1   ,201809160919,242,1101001009
CCH ,J1   ,201809160920,242,1101001009
CCH ,J1   ,201809160921,241,1101001009
CCH ,J1   ,201809160922,241,1101001009
CCH ,J1   ,201809160923,242,1101001009
CCH ,J1   ,201809160924,242,1101001009
CCH ,J1   ,201809160925,242,1101001009
CCH ,J1   ,201809160926,242,1101001009
CCH ,J1   ,201809160927,242,1101001009
CCH ,J1   ,201809160928,242,1101001009
CCH ,J1   ,201809160929,242,1101001009
CCH ,J1   ,201809160930,242,1101001009
CCH ,J1   ,201809160931,242,1101001009
CCH ,J1   ,201809160932,242,1101001009
CCH ,J1   ,201809160933,243,1101001009
CCH ,J1   ,201809160934,243,1101001009
CCH ,J1   ,201809160935,243,1101001009
CCH ,J1   ,201809160936,242,1101001009
CCH ,J1   ,201809160937,242,1101001009
CCH ,J1   ,201809160938,242,1101001009
CCH ,J1   ,201809160939,243,1101001009
CCH ,J1   ,201809160940,243,1101001009
CCH ,J1   ,201809160941,243,1101001009
CCH ,J1   ,201809160942,243,1101001009
CCH ,J1   ,201809160943,243,1101001009
CCH ,J1   ,201809160944,243,1101001009
CCH ,J1   ,201809160945,243,1101001009
CCH ,J1   ,201809160946,243,1101001009
CCH ,J1   ,201809160947,243,1101001009
CCH ,J1   ,201809160948,243,1101001009
CCH ,J1   ,201809160949,243,1101001009
CCH ,J1   ,201809160950,243,1101001009
CCH ,J1   ,201809160951,243,1101001009
CCH ,J1   ,201809160952,243,1101001009
CCH ,J1   ,201809160953,243,1101001009
CCH ,J1   ,201809160954,243,1101001009
CCH ,J1   ,201809160955,243,1101001009
CCH ,J1   ,201809160956,243,1101001009
CCH ,J1   ,201809160957,243,1101001009
CCH ,J1   ,201809160958,243,1101001009
CCH ,J1   ,201809160959,244,1101001009
CCH ,J1   ,201809161000,244,1101001009
CCH ,J1   ,201809161001,244,1101001009
CCH ,J1   ,201809161002,244,1101001009
CCH ,J1   ,201809161003,244,1101001009
CCH ,J1   ,201809161004,244,1101001009
CCH ,J1   ,201809161005,244,1101001009
CCH ,J1   ,201809161006,244,1101001009
CCH ,J1   ,201809161007,244,1101001009
CCH ,J1   ,201809161008,244,1101001009
CCH ,J1   ,201809161009,244,1101001009
CCH ,J1   ,201809161010,244,1101001009
CCH ,J1   ,201809161011,244,1101001009
CCH ,J1   ,201809161012,244,1101001009
CCH ,J1   ,201809161013,243,1101001009
CCH ,J1   ,201809161014,243,1101001009
CCH ,J1   ,201809161015,243,1101001009
CCH ,J1   ,201809161016,243,1101001009
CCH ,J1   ,201809161017,243,1101001009
CCH ,J1   ,201809161018,243,1101001009
CCH ,J1   ,201809161019,243,1101001009
CCH ,J1   ,201809161020,243,1101001009
CCH ,J1   ,201809161021,242,1101001009
CCH ,J1   ,201809161022,243,1101001009
CCH ,J1   ,201809161023,242,1101001009
CCH ,J1   ,201809161024,241,1101001009
CCH ,J1   ,201809161025,242,1101001009
CCH ,J1   ,201809161026,242,1101001009
CCH ,J1   ,201809161027,243,1101001009
CCH ,J1   ,201809161028,242,1101001009
CCH ,J1   ,201809161029,242,1101001009
CCH ,J1   ,201809161030,241,1101001009
CCH ,J1   ,201809161031,240,1101001009
CCH ,J1   ,201809161032,241,1101001009
CCH ,J1   ,201809161033,240,1101001009
CCH ,J1   ,201809161034,239,1101001009
CCH ,J1   ,201809161035,237,1101001009
