CWB ,B1   ,201809160717,207,1001001009
CWB ,B1   ,201809160718,159,1001001009
CWB ,B1   ,201809160719,161,1001001009
CWB ,B1   ,201809160720,130,1001001009
CWB ,B1   ,201809160721,222,1001001009
CWB ,B1   ,201809160722,182,1001001009
CWB ,B1   ,201809160723,200,1001001009
CWB ,B1   ,201809160724,208,1001001009
CWB ,B1   ,201809160725,173,1001001009
CWB ,B1   ,201809160726,159,1001001009
CWB ,B1   ,201809160727,193,1001001009
CWB ,B1   ,201809160728,197,1001001009
CWB ,B1   ,201809160729,161,1001001009
CWB ,B1   ,201809160730,183,1001001009
CWB ,B1   ,201809160731,203,1001001009
CWB ,B1   ,201809160732,208,1001001009
CWB ,B1   ,201809160733,191,1001001009
CWB ,B1   ,201809160734,158,1001001009
CWB ,B1   ,201809160735,,
CWB ,B1   ,201809160736,,
CWB ,B1   ,201809160737,,
CWB ,B1   ,201809160738,,
CWB ,B1   ,201809160739,,
CWB ,B1   ,201809160740,132,1001001009
CWB ,B1   ,201809160741,201,1001001009
CWB ,B1   ,201809160742,181,1001001009
CWB ,B1   ,201809160743,219,1001001009
CWB ,B1   ,201809160744,216,1001001009
CWB ,B1   ,201809160745,226,1001001009
CWB ,B1   ,201809160746,158,1001001009
CWB ,B1   ,201809160747,217,1001001009
CWB ,B1   ,201809160748,221,1001001009
CWB ,B1   ,201809160749,208,1001001009
CWB ,B1   ,201809160750,228,1001001009
CWB ,B1   ,201809160751,223,1001001009
CWB ,B1   ,201809160752,244,1001001009
CWB ,B1   ,201809160753,261,1001001009
CWB ,B1   ,201809160754,181,1001001009
CWB ,B1   ,201809160755,207,1001001009
CWB ,B1   ,201809160756,199,1001001009
CWB ,B1   ,201809160757,157,1001001009
CWB ,B1   ,201809160758,190,1001001009
CWB ,B1   ,201809160759,236,1001001009
CWB ,B1   ,201809160800,208,1001001009
CWB ,B1   ,201809160801,207,1001001009
CWB ,B1   ,201809160802,230,1001001009
CWB ,B1   ,201809160803,238,1001001009
CWB ,B1   ,201809160804,216,1001001009
CWB ,B1   ,201809160805,241,1001001009
CWB ,B1   ,201809160806,210,1001001009
CWB ,B1   ,201809160807,228,1001001009
CWB ,B1   ,201809160808,206,1001001009
CWB ,B1   ,201809160809,240,1001001009
CWB ,B1   ,201809160810,224,1001001009
CWB ,B1   ,201809160811,192,1001001009
CWB ,B1   ,201809160812,212,1001001009
CWB ,B1   ,201809160813,282,1001001009
CWB ,B1   ,201809160814,217,1001001009
CWB ,B1   ,201809160815,221,1001001009
CWB ,B1   ,201809160816,239,1001001009
CWB ,B1   ,201809160817,212,1001001009
CWB ,B1   ,201809160818,235,1001001009
CWB ,B1   ,201809160819,204,1001001009
CWB ,B1   ,201809160820,225,1001001009
CWB ,B1   ,201809160821,230,1001001009
CWB ,B1   ,201809160822,201,1001001009
CWB ,B1   ,201809160823,282,1001001009
CWB ,B1   ,201809160824,231,1001001009
CWB ,B1   ,201809160825,219,1001001009
CWB ,B1   ,201809160826,208,1001001009
CWB ,B1   ,201809160827,208,1001001009
CWB ,B1   ,201809160828,242,1001001009
CWB ,B1   ,201809160829,192,1001001009
CWB ,B1   ,201809160830,279,1001001009
CWB ,B1   ,201809160831,223,1001001009
CWB ,B1   ,201809160832,247,1001001009
CWB ,B1   ,201809160833,196,1001001009
CWB ,B1   ,201809160834,239,1001001009
CWB ,B1   ,201809160835,,
CWB ,B1   ,201809160836,,
CWB ,B1   ,201809160837,,
CWB ,B1   ,201809160838,,
CWB ,B1   ,201809160839,,
CWB ,B1   ,201809160840,272,1001001009
CWB ,B1   ,201809160841,259,1001001009
CWB ,B1   ,201809160842,264,1001001009
CWB ,B1   ,201809160843,279,1001001009
CWB ,B1   ,201809160844,278,1001001009
CWB ,B1   ,201809160845,287,1001001009
CWB ,B1   ,201809160846,287,1001001009
CWB ,B1   ,201809160847,294,1001001009
CWB ,B1   ,201809160848,256,1001001009
CWB ,B1   ,201809160849,225,1001001009
CWB ,B1   ,201809160850,269,1001001009
CWB ,B1   ,201809160851,259,1001001009
CWB ,B1   ,201809160852,253,1001001009
CWB ,B1   ,201809160853,285,1001001009
CWB ,B1   ,201809160854,277,1001001009
CWB ,B1   ,201809160855,273,1001001009
CWB ,B1   ,201809160856,296,1001001009
CWB ,B1   ,201809160857,255,1001001009
