NP  ,B1   ,201809160554,126,1001001009
NP  ,B1   ,201809160555,94,1001001009
NP  ,B1   ,201809160556,107,1001001009
NP  ,B1   ,201809160557,80,1001001009
NP  ,B1   ,201809160558,84,1001001009
NP  ,B1   ,201809160559,116,1001001009
NP  ,B1   ,201809160600,82,1001001009
NP  ,B1   ,201809160601,112,1001001009
NP  ,B1   ,201809160602,104,1001001009
NP  ,B1   ,201809160603,141,1001001009
NP  ,B1   ,201809160604,105,1001001009
NP  ,B1   ,201809160605,115,1001001009
NP  ,B1   ,201809160606,118,1001001009
NP  ,B1   ,201809160607,117,1001001009
NP  ,B1   ,201809160608,111,1001001009
NP  ,B1   ,201809160609,98,1001001009
NP  ,B1   ,201809160610,91,1001001009
NP  ,B1   ,201809160611,70,1001001009
NP  ,B1   ,201809160612,90,1001001009
NP  ,B1   ,201809160613,84,1001001009
NP  ,B1   ,201809160614,88,1001001009
NP  ,B1   ,201809160615,109,1001001009
NP  ,B1   ,201809160616,109,1001001009
NP  ,B1   ,201809160617,100,1001001009
NP  ,B1   ,201809160618,99,1001001009
NP  ,B1   ,201809160619,103,1001001009
NP  ,B1   ,201809160620,65,1001001009
NP  ,B1   ,201809160621,109,1001001009
NP  ,B1   ,201809160622,139,1001001009
NP  ,B1   ,201809160623,101,1001001009
NP  ,B1   ,201809160624,110,1001001009
NP  ,B1   ,201809160625,127,1001001009
NP  ,B1   ,201809160626,123,1001001009
NP  ,B1   ,201809160627,102,1001001009
NP  ,B1   ,201809160628,147,1001001009
NP  ,B1   ,201809160629,105,1001001009
NP  ,B1   ,201809160630,135,1001001009
NP  ,B1   ,201809160631,143,1001001009
NP  ,B1   ,201809160632,97,1001001009
NP  ,B1   ,201809160633,93,1001001009
NP  ,B1   ,201809160634,118,1001001009
NP  ,B1   ,201809160635,124,1001001009
NP  ,B1   ,201809160636,130,1001001009
NP  ,B1   ,201809160637,119,1001001009
NP  ,B1   ,201809160638,149,1001001009
NP  ,B1   ,201809160639,126,1001001009
NP  ,B1   ,201809160640,114,1001001009
NP  ,B1   ,201809160641,119,1001001009
NP  ,B1   ,201809160642,83,1001001009
NP  ,B1   ,201809160643,122,1001001009
NP  ,B1   ,201809160644,127,1001001009
NP  ,B1   ,201809160645,79,1001001009
NP  ,B1   ,201809160646,124,1001001009
NP  ,B1   ,201809160647,113,1001001009
NP  ,B1   ,201809160648,113,1001001009
NP  ,B1   ,201809160649,163,1001001009
NP  ,B1   ,201809160650,148,1001001009
NP  ,B1   ,201809160651,141,1001001009
NP  ,B1   ,201809160652,96,1001001009
NP  ,B1   ,201809160653,88,1001001009
NP  ,B1   ,201809160654,106,1001001009
NP  ,B1   ,201809160655,93,1001001009
NP  ,B1   ,201809160656,127,1001001009
NP  ,B1   ,201809160657,137,1001001009
NP  ,B1   ,201809160658,139,1001001009
NP  ,B1   ,201809160659,143,1001001009
NP  ,B1   ,201809160700,138,1001001009
NP  ,B1   ,201809160701,91,1001001009
NP  ,B1   ,201809160702,131,1001001009
NP  ,B1   ,201809160703,161,1001001009
NP  ,B1   ,201809160704,127,1001001009
NP  ,B1   ,201809160705,107,1001001009
NP  ,B1   ,201809160706,151,1001001009
NP  ,B1   ,201809160707,119,1001001009
NP  ,B1   ,201809160708,69,1001001009
NP  ,B1   ,201809160709,142,1001001009
