TUN ,B1   ,201809161010,63,1001001009
TUN ,B1   ,201809161011,63,1001001009
TUN ,B1   ,201809161012,54,1001001009
TUN ,B1   ,201809161013,80,1001001009
TUN ,B1   ,201809161014,73,1001001009
TUN ,B1   ,201809161015,65,1001001009
TUN ,B1   ,201809161016,64,1001001009
TUN ,B1   ,201809161017,63,1001001009
TUN ,B1   ,201809161018,86,1001001009
TUN ,B1   ,201809161019,79,1001001009
TUN ,B1   ,201809161020,31,1001001009
TUN ,B1   ,201809161021,51,1001001009
TUN ,B1   ,201809161022,40,1001001009
TUN ,B1   ,201809161023,46,1001001009
TUN ,B1   ,201809161024,51,1001001009
TUN ,B1   ,201809161025,77,1001001009
TUN ,B1   ,201809161026,78,1001001009
TUN ,B1   ,201809161027,44,1001001009
TUN ,B1   ,201809161028,39,1001001009
TUN ,B1   ,201809161029,62,1001001009
TUN ,B1   ,201809161030,41,1001001009
TUN ,B1   ,201809161031,47,1001001009
TUN ,B1   ,201809161032,72,1001001009
TUN ,B1   ,201809161033,55,1001001009
TUN ,B1   ,201809161034,56,1001001009
TUN ,B1   ,201809161035,63,1001001009
