SHW ,B1   ,201809160555,74,1001001009
SHW ,B1   ,201809160556,54,1001001009
SHW ,B1   ,201809160557,62,1001001009
SHW ,B1   ,201809160558,74,1001001009
SHW ,B1   ,201809160559,62,1001001009
SHW ,B1   ,201809160600,81,1001001009
SHW ,B1   ,201809160601,90,1001001009
SHW ,B1   ,201809160602,93,1001001009
SHW ,B1   ,201809160603,92,1001001009
SHW ,B1   ,201809160604,100,1001001009
SHW ,B1   ,201809160605,87,1001001009
SHW ,B1   ,201809160606,93,1001001009
SHW ,B1   ,201809160607,90,1001001009
SHW ,B1   ,201809160608,100,1001001009
SHW ,B1   ,201809160609,117,1001001009
SHW ,B1   ,201809160610,94,1001001009
SHW ,B1   ,201809160611,94,1001001009
SHW ,B1   ,201809160612,95,1001001009
SHW ,B1   ,201809160613,95,1001001009
SHW ,B1   ,201809160614,101,1001001009
SHW ,B1   ,201809160615,90,1001001009
SHW ,B1   ,201809160616,79,1001001009
SHW ,B1   ,201809160617,87,1001001009
SHW ,B1   ,201809160618,87,1001001009
SHW ,B1   ,201809160619,60,1001001009
SHW ,B1   ,201809160620,62,1001001009
SHW ,B1   ,201809160621,74,1001001009
SHW ,B1   ,201809160622,84,1001001009
SHW ,B1   ,201809160623,91,1001001009
SHW ,B1   ,201809160624,83,1001001009
SHW ,B1   ,201809160625,85,1001001009
SHW ,B1   ,201809160626,90,1001001009
SHW ,B1   ,201809160627,83,1001001009
SHW ,B1   ,201809160628,70,1001001009
SHW ,B1   ,201809160629,80,1001001009
SHW ,B1   ,201809160630,75,1001001009
SHW ,B1   ,201809160631,64,1001001009
SHW ,B1   ,201809160632,63,1001001009
SHW ,B1   ,201809160633,78,1001001009
SHW ,B1   ,201809160634,83,1001001009
SHW ,B1   ,201809160635,75,1001001009
SHW ,B1   ,201809160636,69,1001001009
SHW ,B1   ,201809160637,60,1001001009
SHW ,B1   ,201809160638,68,1001001009
SHW ,B1   ,201809160639,88,1001001009
SHW ,B1   ,201809160640,87,1001001009
SHW ,B1   ,201809160641,74,1001001009
SHW ,B1   ,201809160642,82,1001001009
SHW ,B1   ,201809160643,72,1001001009
SHW ,B1   ,201809160644,70,1001001009
SHW ,B1   ,201809160645,81,1001001009
SHW ,B1   ,201809160646,79,1001001009
SHW ,B1   ,201809160647,69,1001001009
SHW ,B1   ,201809160648,83,1001001009
SHW ,B1   ,201809160649,105,1001001009
SHW ,B1   ,201809160650,80,1001001009
SHW ,B1   ,201809160651,92,1001001009
SHW ,B1   ,201809160652,93,1001001009
SHW ,B1   ,201809160653,89,1001001009
SHW ,B1   ,201809160654,105,1001001009
SHW ,B1   ,201809160655,104,1001001009
SHW ,B1   ,201809160656,88,1001001009
SHW ,B1   ,201809160657,87,1001001009
SHW ,B1   ,201809160658,79,1001001009
SHW ,B1   ,201809160659,115,1001001009
SHW ,B1   ,201809160700,78,1001001009
SHW ,B1   ,201809160701,86,1001001009
SHW ,B1   ,201809160702,90,1001001009
SHW ,B1   ,201809160703,101,1001001009
SHW ,B1   ,201809160704,106,1001001009
SHW ,B1   ,201809160705,116,1001001009
SHW ,B1   ,201809160706,123,1001001009
SHW ,B1   ,201809160707,105,1001001009
SHW ,B1   ,201809160708,92,1001001009
SHW ,B1   ,201809160709,99,1001001009
SHW ,B1   ,201809160710,85,1001001009
