WLP ,B1   ,201809160636,44,1001001009
WLP ,B1   ,201809160637,55,1001001009
WLP ,B1   ,201809160638,55,1001001009
WLP ,B1   ,201809160639,44,1001001009
WLP ,B1   ,201809160640,41,1001001009
WLP ,B1   ,201809160641,49,1001001009
WLP ,B1   ,201809160642,41,1001001009
WLP ,B1   ,201809160643,36,1001001009
WLP ,B1   ,201809160644,49,1001001009
WLP ,B1   ,201809160645,43,1001001009
WLP ,B1   ,201809160646,42,1001001009
WLP ,B1   ,201809160647,53,1001001009
WLP ,B1   ,201809160648,42,1001001009
WLP ,B1   ,201809160649,44,1001001009
WLP ,B1   ,201809160650,46,1001001009
WLP ,B1   ,201809160651,38,1001001009
WLP ,B1   ,201809160652,44,1001001009
WLP ,B1   ,201809160653,41,1001001009
WLP ,B1   ,201809160654,41,1001001009
WLP ,B1   ,201809160655,43,1001001009
WLP ,B1   ,201809160656,30,1001001009
WLP ,B1   ,201809160657,57,1001001009
WLP ,B1   ,201809160658,52,1001001009
WLP ,B1   ,201809160659,34,1001001009
WLP ,B1   ,201809160700,52,1001001009
WLP ,B1   ,201809160701,41,1001001009
WLP ,B1   ,201809160702,43,1001001009
WLP ,B1   ,201809160703,51,1001001009
WLP ,B1   ,201809160704,35,1001001009
WLP ,B1   ,201809160705,36,1001001009
WLP ,B1   ,201809160706,51,1001001009
WLP ,B1   ,201809160707,40,1001001009
WLP ,B1   ,201809160708,38,1001001009
WLP ,B1   ,201809160709,54,1001001009
WLP ,B1   ,201809160710,69,1001001009
WLP ,B1   ,201809160711,45,1001001009
WLP ,B1   ,201809160712,56,1001001009
WLP ,B1   ,201809160713,48,1001001009
WLP ,B1   ,201809160714,51,1001001009
WLP ,B1   ,201809160715,42,1001001009
WLP ,B1   ,201809160716,38,1001001009
WLP ,B1   ,201809160717,42,1001001009
WLP ,B1   ,201809160718,28,1001001009
WLP ,B1   ,201809160719,37,1001001009
WLP ,B1   ,201809160720,39,1001001009
WLP ,B1   ,201809160721,27,1001001009
WLP ,B1   ,201809160722,29,1001001009
WLP ,B1   ,201809160723,39,1001001009
WLP ,B1   ,201809160724,36,1001001009
WLP ,B1   ,201809160725,50,1001001009
WLP ,B1   ,201809160726,41,1001001009
