SE  ,B1   ,201809160953,69,1001001009
SE  ,B1   ,201809160954,66,1001001009
SE  ,B1   ,201809160955,41,1001001009
SE  ,B1   ,201809160956,86,1001001009
SE  ,B1   ,201809160957,176,1001001009
SE  ,B1   ,201809160958,118,1001001009
SE  ,B1   ,201809160959,80,1001001009
SE  ,B1   ,201809161000,78,1001001009
SE  ,B1   ,201809161001,68,1001001009
SE  ,B1   ,201809161002,86,1001001009
SE  ,B1   ,201809161003,203,1001001009
SE  ,B1   ,201809161004,152,1001001009
SE  ,B1   ,201809161005,130,1001001009
SE  ,B1   ,201809161006,113,1001001009
SE  ,B1   ,201809161007,110,1001001009
SE  ,B1   ,201809161008,128,1001001009
SE  ,B1   ,201809161009,155,1001001009
SE  ,B1   ,201809161010,128,1001001009
SE  ,B1   ,201809161011,129,1001001009
SE  ,B1   ,201809161012,131,1001001009
SE  ,B1   ,201809161013,69,1001001009
SE  ,B1   ,201809161014,162,1001001009
SE  ,B1   ,201809161015,133,1001001009
SE  ,B1   ,201809161016,78,1001001009
SE  ,B1   ,201809161017,142,1001001009
SE  ,B1   ,201809161018,114,1001001009
SE  ,B1   ,201809161019,131,1001001009
SE  ,B1   ,201809161020,95,1001001009
SE  ,B1   ,201809161021,181,1001001009
SE  ,B1   ,201809161022,120,1001001009
SE  ,B1   ,201809161023,144,1001001009
SE  ,B1   ,201809161024,188,1001001009
SE  ,B1   ,201809161025,152,1001001009
SE  ,B1   ,201809161026,134,1001001009
SE  ,B1   ,201809161027,144,1001001009
SE  ,B1   ,201809161028,169,1001001009
SE  ,B1   ,201809161029,168,1001001009
SE  ,B1   ,201809161030,185,1001001009
SE  ,B1   ,201809161031,148,1001001009
SE  ,B1   ,201809161032,110,1001001009
SE  ,B1   ,201809161033,104,1001001009
SE  ,B1   ,201809161034,90,1001001009
SE  ,B1   ,201809161035,153,1001001009
