SEK ,B1   ,201809160604,76,1001001009
SEK ,B1   ,201809160605,66,1001001009
SEK ,B1   ,201809160606,45,1001001009
SEK ,B1   ,201809160607,52,1001001009
SEK ,B1   ,201809160608,61,1001001009
SEK ,B1   ,201809160609,58,1001001009
SEK ,B1   ,201809160610,53,1001001009
SEK ,B1   ,201809160611,47,1001001009
SEK ,B1   ,201809160612,74,1001001009
SEK ,B1   ,201809160613,65,1001001009
SEK ,B1   ,201809160614,61,1001001009
SEK ,B1   ,201809160615,87,1001001009
SEK ,B1   ,201809160616,90,1001001009
SEK ,B1   ,201809160617,67,1001001009
SEK ,B1   ,201809160618,84,1001001009
SEK ,B1   ,201809160619,71,1001001009
SEK ,B1   ,201809160620,55,1001001009
SEK ,B1   ,201809160621,55,1001001009
SEK ,B1   ,201809160622,45,1001001009
SEK ,B1   ,201809160623,64,1001001009
SEK ,B1   ,201809160624,62,1001001009
SEK ,B1   ,201809160625,37,1001001009
SEK ,B1   ,201809160626,39,1001001009
SEK ,B1   ,201809160627,44,1001001009
SEK ,B1   ,201809160628,52,1001001009
SEK ,B1   ,201809160629,42,1001001009
SEK ,B1   ,201809160630,53,1001001009
SEK ,B1   ,201809160631,55,1001001009
SEK ,B1   ,201809160632,44,1001001009
SEK ,B1   ,201809160633,58,1001001009
SEK ,B1   ,201809160634,54,1001001009
SEK ,B1   ,201809160635,54,1001001009
SEK ,B1   ,201809160636,55,1001001009
SEK ,B1   ,201809160637,59,1001001009
SEK ,B1   ,201809160638,33,1001001009
SEK ,B1   ,201809160639,50,1001001009
SEK ,B1   ,201809160640,72,1001001009
SEK ,B1   ,201809160641,76,1001001009
SEK ,B1   ,201809160642,77,1001001009
SEK ,B1   ,201809160643,72,1001001009
SEK ,B1   ,201809160644,85,1001001009
SEK ,B1   ,201809160645,65,1001001009
SEK ,B1   ,201809160646,81,1001001009
SEK ,B1   ,201809160647,68,1001001009
SEK ,B1   ,201809160648,82,1001001009
SEK ,B1   ,201809160649,72,1001001009
SEK ,B1   ,201809160650,89,1001001009
SEK ,B1   ,201809160651,61,1001001009
SEK ,B1   ,201809160652,72,1001001009
SEK ,B1   ,201809160653,69,1001001009
SEK ,B1   ,201809160654,63,1001001009
SEK ,B1   ,201809160655,69,1001001009
SEK ,B1   ,201809160656,91,1001001009
SEK ,B1   ,201809160657,75,1001001009
SEK ,B1   ,201809160658,91,1001001009
SEK ,B1   ,201809160659,63,1001001009
SEK ,B1   ,201809160700,61,1001001009
SEK ,B1   ,201809160701,74,1001001009
SEK ,B1   ,201809160702,81,1001001009
SEK ,B1   ,201809160703,43,1001001009
SEK ,B1   ,201809160704,39,1001001009
SEK ,B1   ,201809160705,63,1001001009
SEK ,B1   ,201809160706,64,1001001009
SEK ,B1   ,201809160707,68,1001001009
SEK ,B1   ,201809160708,51,1001001009
SEK ,B1   ,201809160709,47,1001001009
SEK ,B1   ,201809160710,54,1001001009
SEK ,B1   ,201809160711,101,1001001009
SEK ,B1   ,201809160712,80,1001001009
