SF  ,B1   ,201809161021,103,1001001009
SF  ,B1   ,201809161022,119,1001001009
SF  ,B1   ,201809161023,132,1001001009
SF  ,B1   ,201809161024,101,1001001009
SF  ,B1   ,201809161025,89,1001001009
SF  ,B1   ,201809161026,111,1001001009
SF  ,B1   ,201809161027,69,1001001009
SF  ,B1   ,201809161028,74,1001001009
SF  ,B1   ,201809161029,88,1001001009
SF  ,B1   ,201809161030,152,1001001009
SF  ,B1   ,201809161031,71,1001001009
SF  ,B1   ,201809161032,141,1001001009
SF  ,B1   ,201809161033,113,1001001009
SF  ,B1   ,201809161034,115,1001001009
SF  ,B1   ,201809161035,72,1001001009
