YTS ,B1   ,201809160653,,
YTS ,B1   ,201809160654,291,1001001009
YTS ,B1   ,201809160655,291,1001001009
YTS ,B1   ,201809160656,302,1001001009
YTS ,B1   ,201809160657,330,1001001009
YTS ,B1   ,201809160658,343,1001001009
YTS ,B1   ,201809160659,322,1001001009
YTS ,B1   ,201809160700,311,1001001009
YTS ,B1   ,201809160701,286,1001001009
YTS ,B1   ,201809160702,291,1001001009
YTS ,B1   ,201809160703,,
YTS ,B1   ,201809160704,305,1001001009
YTS ,B1   ,201809160705,289,1001001009
YTS ,B1   ,201809160706,,
YTS ,B1   ,201809160707,274,1001001009
YTS ,B1   ,201809160708,316,1001001009
YTS ,B1   ,201809160709,308,1001001009
YTS ,B1   ,201809160710,298,1001001009
YTS ,B1   ,201809160711,288,1001001009
YTS ,B1   ,201809160712,238,1001001009
YTS ,B1   ,201809160713,289,1001001009
YTS ,B1   ,201809160714,307,1001001009
YTS ,B1   ,201809160715,287,1001001009
YTS ,B1   ,201809160716,303,1001001009
YTS ,B1   ,201809160717,298,1001001009
YTS ,B1   ,201809160718,266,1001001009
YTS ,B1   ,201809160719,260,1001001009
YTS ,B1   ,201809160720,294,1001001009
YTS ,B1   ,201809160721,305,1001001009
YTS ,B1   ,201809160722,321,1001001009
YTS ,B1   ,201809160723,314,1001001009
YTS ,B1   ,201809160724,272,1001001009
YTS ,B1   ,201809160725,280,1001001009
YTS ,B1   ,201809160726,316,1001001009
YTS ,B1   ,201809160727,317,1001001009
YTS ,B1   ,201809160728,309,1001001009
YTS ,B1   ,201809160729,283,1001001009
YTS ,B1   ,201809160730,275,1001001009
YTS ,B1   ,201809160731,286,1001001009
YTS ,B1   ,201809160732,283,1001001009
YTS ,B1   ,201809160733,267,1001001009
YTS ,B1   ,201809160734,271,1001001009
YTS ,B1   ,201809160735,317,1001001009
YTS ,B1   ,201809160736,281,1001001009
YTS ,B1   ,201809160737,353,1001001009
YTS ,B1   ,201809160738,331,1001001009
YTS ,B1   ,201809160739,355,1001001009
YTS ,B1   ,201809160740,355,1001001009
YTS ,B1   ,201809160741,321,1001001009
YTS ,B1   ,201809160742,363,1001001009
YTS ,B1   ,201809160743,328,1001001009
YTS ,B1   ,201809160744,314,1001001009
YTS ,B1   ,201809160745,278,1001001009
YTS ,B1   ,201809160746,305,1001001009
YTS ,B1   ,201809160747,306,1001001009
YTS ,B1   ,201809160748,291,1001001009
YTS ,B1   ,201809160749,339,1001001009
YTS ,B1   ,201809160750,316,1001001009
YTS ,B1   ,201809160751,347,1001001009
YTS ,B1   ,201809160752,384,1001001009
YTS ,B1   ,201809160753,333,1001001009
YTS ,B1   ,201809160754,381,1001001009
YTS ,B1   ,201809160755,343,1001001009
YTS ,B1   ,201809160756,378,1001001009
YTS ,B1   ,201809160757,311,1001001009
YTS ,B1   ,201809160758,342,1001001009
YTS ,B1   ,201809160759,358,1001001009
YTS ,B1   ,201809160800,300,1001001009
YTS ,B1   ,201809160801,302,1001001009
YTS ,B1   ,201809160802,271,1001001009
YTS ,B1   ,201809160803,289,1001001009
YTS ,B1   ,201809160804,298,1001001009
YTS ,B1   ,201809160805,344,1001001009
YTS ,B1   ,201809160806,290,1001001009
YTS ,B1   ,201809160807,246,1001001009
YTS ,B1   ,201809160808,295,1001001009
YTS ,B1   ,201809160809,252,1001001009
YTS ,B1   ,201809160810,302,1001001009
YTS ,B1   ,201809160811,271,1001001009
YTS ,B1   ,201809160812,190,1001001009
YTS ,B1   ,201809160813,247,1001001009
YTS ,B1   ,201809160814,202,1001001009
YTS ,B1   ,201809160815,177,1001001009
YTS ,B1   ,201809160816,217,1001001009
YTS ,B1   ,201809160817,225,1001001009
YTS ,B1   ,201809160818,240,1001001009
YTS ,B1   ,201809160819,210,1001001009
YTS ,B1   ,201809160820,205,1001001009
YTS ,B1   ,201809160821,223,1001001009
