SHL ,B1   ,201809160649,73,1001001009
SHL ,B1   ,201809160650,75,1001001009
SHL ,B1   ,201809160651,70,1001001009
SHL ,B1   ,201809160652,69,1001001009
SHL ,B1   ,201809160653,80,1001001009
SHL ,B1   ,201809160654,65,1001001009
SHL ,B1   ,201809160655,70,1001001009
SHL ,B1   ,201809160656,83,1001001009
SHL ,B1   ,201809160657,72,1001001009
SHL ,B1   ,201809160658,82,1001001009
SHL ,B1   ,201809160659,106,1001001009
SHL ,B1   ,201809160700,78,1001001009
SHL ,B1   ,201809160701,85,1001001009
SHL ,B1   ,201809160702,89,1001001009
SHL ,B1   ,201809160703,92,1001001009
SHL ,B1   ,201809160704,101,1001001009
SHL ,B1   ,201809160705,95,1001001009
SHL ,B1   ,201809160706,95,1001001009
SHL ,B1   ,201809160707,104,1001001009
SHL ,B1   ,201809160708,111,1001001009
SHL ,B1   ,201809160709,95,1001001009
SHL ,B1   ,201809160710,109,1001001009
SHL ,B1   ,201809160711,105,1001001009
SHL ,B1   ,201809160712,102,1001001009
SHL ,B1   ,201809160713,134,1001001009
SHL ,B1   ,201809160714,128,1001001009
SHL ,B1   ,201809160715,103,1001001009
SHL ,B1   ,201809160716,127,1001001009
SHL ,B1   ,201809160717,108,1001001009
SHL ,B1   ,201809160718,114,1001001009
SHL ,B1   ,201809160719,110,1001001009
SHL ,B1   ,201809160720,123,1001001009
SHL ,B1   ,201809160721,124,1001001009
SHL ,B1   ,201809160722,119,1001001009
SHL ,B1   ,201809160723,107,1001001009
SHL ,B1   ,201809160724,105,1001001009
SHL ,B1   ,201809160725,101,1001001009
SHL ,B1   ,201809160726,108,1001001009
SHL ,B1   ,201809160727,95,1001001009
SHL ,B1   ,201809160728,72,1001001009
SHL ,B1   ,201809160729,80,1001001009
SHL ,B1   ,201809160730,93,1001001009
SHL ,B1   ,201809160731,92,1001001009
SHL ,B1   ,201809160732,60,1001001009
SHL ,B1   ,201809160733,62,1001001009
SHL ,B1   ,201809160734,74,1001001009
SHL ,B1   ,201809160735,61,1001001009
SHL ,B1   ,201809160736,87,1001001009
SHL ,B1   ,201809160737,82,1001001009
SHL ,B1   ,201809160738,78,1001001009
SHL ,B1   ,201809160739,93,1001001009
SHL ,B1   ,201809160740,101,1001001009
SHL ,B1   ,201809160741,73,1001001009
SHL ,B1   ,201809160742,106,1001001009
SHL ,B1   ,201809160743,104,1001001009
SHL ,B1   ,201809160744,98,1001001009
SHL ,B1   ,201809160745,101,1001001009
SHL ,B1   ,201809160746,67,1001001009
SHL ,B1   ,201809160747,110,1001001009
SHL ,B1   ,201809160748,112,1001001009
SHL ,B1   ,201809160749,94,1001001009
SHL ,B1   ,201809160750,80,1001001009
SHL ,B1   ,201809160751,93,1001001009
SHL ,B1   ,201809160752,97,1001001009
SHL ,B1   ,201809160753,89,1001001009
SHL ,B1   ,201809160754,54,1001001009
SHL ,B1   ,201809160755,53,1001001009
SHL ,B1   ,201809160756,67,1001001009
SHL ,B1   ,201809160757,83,1001001009
SHL ,B1   ,201809160758,69,1001001009
SHL ,B1   ,201809160759,68,1001001009
SHL ,B1   ,201809160800,78,1001001009
SHL ,B1   ,201809160801,57,1001001009
SHL ,B1   ,201809160802,56,1001001009
SHL ,B1   ,201809160803,37,1001001009
SHL ,B1   ,201809160804,67,1001001009
SHL ,B1   ,201809160805,46,1001001009
SHL ,B1   ,201809160806,48,1001001009
SHL ,B1   ,201809160807,63,1001001009
SHL ,B1   ,201809160808,70,1001001009
SHL ,B1   ,201809160809,41,1001001009
SHL ,B1   ,201809160810,26,1001001009
SHL ,B1   ,201809160811,32,1001001009
SHL ,B1   ,201809160812,39,1001001009
SHL ,B1   ,201809160813,42,1001001009
SHL ,B1   ,201809160814,36,1001001009
SHL ,B1   ,201809160815,49,1001001009
SHL ,B1   ,201809160816,40,1001001009
SHL ,B1   ,201809160817,65,1001001009
SHL ,B1   ,201809160818,59,1001001009
SHL ,B1   ,201809160819,40,1001001009
SHL ,B1   ,201809160820,57,1001001009
SHL ,B1   ,201809160821,64,1001001009
SHL ,B1   ,201809160822,47,1001001009
SHL ,B1   ,201809160823,45,1001001009
SHL ,B1   ,201809160824,81,1001001009
SHL ,B1   ,201809160825,51,1001001009
SHL ,B1   ,201809160826,59,1001001009
SHL ,B1   ,201809160827,56,1001001009
SHL ,B1   ,201809160828,53,1001001009
SHL ,B1   ,201809160829,59,1001001009
SHL ,B1   ,201809160830,51,1001001009
SHL ,B1   ,201809160831,36,1001001009
SHL ,B1   ,201809160832,45,1001001009
SHL ,B1   ,201809160833,74,1001001009
SHL ,B1   ,201809160834,46,1001001009
SHL ,B1   ,201809160835,62,1001001009
SHL ,B1   ,201809160836,61,1001001009
SHL ,B1   ,201809160837,58,1001001009
SHL ,B1   ,201809160838,41,1001001009
SHL ,B1   ,201809160839,32,1001001009
SHL ,B1   ,201809160840,71,1001001009
SHL ,B1   ,201809160841,78,1001001009
SHL ,B1   ,201809160842,49,1001001009
SHL ,B1   ,201809160843,64,1001001009
SHL ,B1   ,201809160844,58,1001001009
SHL ,B1   ,201809160845,72,1001001009
SHL ,B1   ,201809160846,62,1001001009
SHL ,B1   ,201809160847,74,1001001009
SHL ,B1   ,201809160848,80,1001001009
SHL ,B1   ,201809160849,75,1001001009
SHL ,B1   ,201809160850,65,1001001009
SHL ,B1   ,201809160851,28,1001001009
SHL ,B1   ,201809160852,37,1001001009
SHL ,B1   ,201809160853,51,1001001009
SHL ,B1   ,201809160854,56,1001001009
SHL ,B1   ,201809160855,43,1001001009
SHL ,B1   ,201809160856,41,1001001009
SHL ,B1   ,201809160857,40,1001001009
SHL ,B1   ,201809160858,38,1001001009
SHL ,B1   ,201809160859,27,1001001009
SHL ,B1   ,201809160900,37,1001001009
SHL ,B1   ,201809160901,67,1001001009
SHL ,B1   ,201809160902,55,1001001009
SHL ,B1   ,201809160903,29,1001001009
SHL ,B1   ,201809160904,29,1001001009
SHL ,B1   ,201809160905,43,1001001009
SHL ,B1   ,201809160906,36,1001001009
SHL ,B1   ,201809160907,65,1001001009
SHL ,B1   ,201809160908,23,1001001009
SHL ,B1   ,201809160909,37,1001001009
SHL ,B1   ,201809160910,59,1001001009
SHL ,B1   ,201809160911,61,1001001009
SHL ,B1   ,201809160912,32,1001001009
SHL ,B1   ,201809160913,28,1001001009
SHL ,B1   ,201809160914,39,1001001009
SHL ,B1   ,201809160915,60,1001001009
SHL ,B1   ,201809160916,50,1001001009
SHL ,B1   ,201809160917,48,1001001009
SHL ,B1   ,201809160918,63,1001001009
SHL ,B1   ,201809160919,83,1001001009
SHL ,B1   ,201809160920,38,1001001009
SHL ,B1   ,201809160921,45,1001001009
SHL ,B1   ,201809160922,40,1001001009
SHL ,B1   ,201809160923,51,1001001009
SHL ,B1   ,201809160924,43,1001001009
SHL ,B1   ,201809160925,54,1001001009
SHL ,B1   ,201809160926,50,1001001009
SHL ,B1   ,201809160927,42,1001001009
SHL ,B1   ,201809160928,79,1001001009
SHL ,B1   ,201809160929,65,1001001009
SHL ,B1   ,201809160930,86,1001001009
SHL ,B1   ,201809160931,44,1001001009
SHL ,B1   ,201809160932,46,1001001009
SHL ,B1   ,201809160933,53,1001001009
SHL ,B1   ,201809160934,50,1001001009
SHL ,B1   ,201809160935,31,1001001009
SHL ,B1   ,201809160936,39,1001001009
SHL ,B1   ,201809160937,74,1001001009
SHL ,B1   ,201809160938,72,1001001009
SHL ,B1   ,201809160939,58,1001001009
SHL ,B1   ,201809160940,40,1001001009
SHL ,B1   ,201809160941,32,1001001009
SHL ,B1   ,201809160942,45,1001001009
SHL ,B1   ,201809160943,59,1001001009
SHL ,B1   ,201809160944,56,1001001009
SHL ,B1   ,201809160945,49,1001001009
SHL ,B1   ,201809160946,58,1001001009
SHL ,B1   ,201809160947,46,1001001009
SHL ,B1   ,201809160948,56,1001001009
SHL ,B1   ,201809160949,55,1001001009
SHL ,B1   ,201809160950,56,1001001009
SHL ,B1   ,201809160951,48,1001001009
SHL ,B1   ,201809160952,60,1001001009
SHL ,B1   ,201809160953,69,1001001009
SHL ,B1   ,201809160954,47,1001001009
SHL ,B1   ,201809160955,53,1001001009
SHL ,B1   ,201809160956,38,1001001009
SHL ,B1   ,201809160957,31,1001001009
SHL ,B1   ,201809160958,80,1001001009
SHL ,B1   ,201809160959,42,1001001009
SHL ,B1   ,201809161000,58,1001001009
SHL ,B1   ,201809161001,54,1001001009
SHL ,B1   ,201809161002,36,1001001009
SHL ,B1   ,201809161003,48,1001001009
SHL ,B1   ,201809161004,40,1001001009
SHL ,B1   ,201809161005,69,1001001009
SHL ,B1   ,201809161006,61,1001001009
SHL ,B1   ,201809161007,52,1001001009
SHL ,B1   ,201809161008,79,1001001009
SHL ,B1   ,201809161009,62,1001001009
SHL ,B1   ,201809161010,85,1001001009
SHL ,B1   ,201809161011,67,1001001009
SHL ,B1   ,201809161012,78,1001001009
SHL ,B1   ,201809161013,86,1001001009
SHL ,B1   ,201809161014,39,1001001009
SHL ,B1   ,201809161015,45,1001001009
SHL ,B1   ,201809161016,66,1001001009
SHL ,B1   ,201809161017,61,1001001009
SHL ,B1   ,201809161018,45,1001001009
SHL ,B1   ,201809161019,65,1001001009
SHL ,B1   ,201809161020,62,1001001009
SHL ,B1   ,201809161021,55,1001001009
SHL ,B1   ,201809161022,68,1001001009
SHL ,B1   ,201809161023,76,1001001009
SHL ,B1   ,201809161024,72,1001001009
SHL ,B1   ,201809161025,93,1001001009
SHL ,B1   ,201809161026,63,1001001009
SHL ,B1   ,201809161027,76,1001001009
SHL ,B1   ,201809161028,60,1001001009
SHL ,B1   ,201809161029,67,1001001009
SHL ,B1   ,201809161030,99,1001001009
SHL ,B1   ,201809161031,89,1001001009
SHL ,B1   ,201809161032,74,1001001009
SHL ,B1   ,201809161033,99,1001001009
SHL ,B1   ,201809161034,92,1001001009
SHL ,B1   ,201809161035,67,1001001009
