SLW ,B1   ,201809160831,81,1001001009
SLW ,B1   ,201809160832,99,1001001009
SLW ,B1   ,201809160833,109,1001001009
SLW ,B1   ,201809160834,90,1001001009
SLW ,B1   ,201809160835,80,1001001009
SLW ,B1   ,201809160836,89,1001001009
SLW ,B1   ,201809160837,78,1001001009
SLW ,B1   ,201809160838,69,1001001009
SLW ,B1   ,201809160839,63,1001001009
SLW ,B1   ,201809160840,71,1001001009
SLW ,B1   ,201809160841,84,1001001009
SLW ,B1   ,201809160842,70,1001001009
SLW ,B1   ,201809160843,76,1001001009
SLW ,B1   ,201809160844,63,1001001009
SLW ,B1   ,201809160845,81,1001001009
SLW ,B1   ,201809160846,78,1001001009
SLW ,B1   ,201809160847,72,1001001009
SLW ,B1   ,201809160848,58,1001001009
SLW ,B1   ,201809160849,69,1001001009
SLW ,B1   ,201809160850,75,1001001009
SLW ,B1   ,201809160851,78,1001001009
SLW ,B1   ,201809160852,79,1001001009
SLW ,B1   ,201809160853,80,1001001009
SLW ,B1   ,201809160854,83,1001001009
SLW ,B1   ,201809160855,85,1001001009
SLW ,B1   ,201809160856,74,1001001009
SLW ,B1   ,201809160857,77,1001001009
SLW ,B1   ,201809160858,98,1001001009
SLW ,B1   ,201809160859,92,1001001009
SLW ,B1   ,201809160900,84,1001001009
SLW ,B1   ,201809160901,90,1001001009
SLW ,B1   ,201809160902,83,1001001009
SLW ,B1   ,201809160903,87,1001001009
SLW ,B1   ,201809160904,79,1001001009
SLW ,B1   ,201809160905,80,1001001009
SLW ,B1   ,201809160906,113,1001001009
SLW ,B1   ,201809160907,130,1001001009
SLW ,B1   ,201809160908,107,1001001009
SLW ,B1   ,201809160909,98,1001001009
SLW ,B1   ,201809160910,93,1001001009
SLW ,B1   ,201809160911,104,1001001009
SLW ,B1   ,201809160912,89,1001001009
SLW ,B1   ,201809160913,95,1001001009
SLW ,B1   ,201809160914,109,1001001009
SLW ,B1   ,201809160915,111,1001001009
SLW ,B1   ,201809160916,100,1001001009
SLW ,B1   ,201809160917,97,1001001009
SLW ,B1   ,201809160918,110,1001001009
SLW ,B1   ,201809160919,110,1001001009
SLW ,B1   ,201809160920,109,1001001009
SLW ,B1   ,201809160921,108,1001001009
SLW ,B1   ,201809160922,98,1001001009
SLW ,B1   ,201809160923,111,1001001009
SLW ,B1   ,201809160924,104,1001001009
SLW ,B1   ,201809160925,96,1001001009
SLW ,B1   ,201809160926,104,1001001009
SLW ,B1   ,201809160927,105,1001001009
SLW ,B1   ,201809160928,109,1001001009
SLW ,B1   ,201809160929,98,1001001009
SLW ,B1   ,201809160930,103,1001001009
SLW ,B1   ,201809160931,88,1001001009
SLW ,B1   ,201809160932,95,1001001009
SLW ,B1   ,201809160933,106,1001001009
SLW ,B1   ,201809160934,78,1001001009
SLW ,B1   ,201809160935,86,1001001009
SLW ,B1   ,201809160936,101,1001001009
SLW ,B1   ,201809160937,89,1001001009
SLW ,B1   ,201809160938,82,1001001009
SLW ,B1   ,201809160939,100,1001001009
SLW ,B1   ,201809160940,112,1001001009
SLW ,B1   ,201809160941,103,1001001009
SLW ,B1   ,201809160942,97,1001001009
SLW ,B1   ,201809160943,118,1001001009
SLW ,B1   ,201809160944,103,1001001009
SLW ,B1   ,201809160945,98,1001001009
SLW ,B1   ,201809160946,100,1001001009
SLW ,B1   ,201809160947,105,1001001009
SLW ,B1   ,201809160948,96,1001001009
SLW ,B1   ,201809160949,90,1001001009
SLW ,B1   ,201809160950,97,1001001009
SLW ,B1   ,201809160951,91,1001001009
SLW ,B1   ,201809160952,109,1001001009
SLW ,B1   ,201809160953,99,1001001009
SLW ,B1   ,201809160954,113,1001001009
SLW ,B1   ,201809160955,101,1001001009
SLW ,B1   ,201809160956,107,1001001009
SLW ,B1   ,201809160957,122,1001001009
SLW ,B1   ,201809160958,109,1001001009
SLW ,B1   ,201809160959,112,1001001009
SLW ,B1   ,201809161000,94,1001001009
SLW ,B1   ,201809161001,104,1001001009
SLW ,B1   ,201809161002,103,1001001009
SLW ,B1   ,201809161003,104,1001001009
SLW ,B1   ,201809161004,95,1001001009
SLW ,B1   ,201809161005,90,1001001009
SLW ,B1   ,201809161006,99,1001001009
SLW ,B1   ,201809161007,99,1001001009
SLW ,B1   ,201809161008,97,1001001009
SLW ,B1   ,201809161009,103,1001001009
SLW ,B1   ,201809161010,125,1001001009
SLW ,B1   ,201809161011,97,1001001009
SLW ,B1   ,201809161012,90,1001001009
SLW ,B1   ,201809161013,89,1001001009
SLW ,B1   ,201809161014,96,1001001009
SLW ,B1   ,201809161015,98,1001001009
SLW ,B1   ,201809161016,106,1001001009
SLW ,B1   ,201809161017,121,1001001009
SLW ,B1   ,201809161018,110,1001001009
SLW ,B1   ,201809161019,107,1001001009
SLW ,B1   ,201809161020,119,1001001009
SLW ,B1   ,201809161021,118,1001001009
SLW ,B1   ,201809161022,117,1001001009
SLW ,B1   ,201809161023,136,1001001009
SLW ,B1   ,201809161024,124,1001001009
SLW ,B1   ,201809161025,102,1001001009
SLW ,B1   ,201809161026,99,1001001009
SLW ,B1   ,201809161027,144,1001001009
SLW ,B1   ,201809161028,142,1001001009
SLW ,B1   ,201809161029,130,1001001009
SLW ,B1   ,201809161030,120,1001001009
SLW ,B1   ,201809161031,130,1001001009
SLW ,B1   ,201809161032,110,1001001009
SLW ,B1   ,201809161033,126,1001001009
SLW ,B1   ,201809161034,161,1001001009
SLW ,B1   ,201809161035,195,1001001009
