TPK ,B1   ,201809160753,71,1001001009
TPK ,B1   ,201809160754,45,1001001009
TPK ,B1   ,201809160755,68,1001001009
TPK ,B1   ,201809160756,60,1001001009
TPK ,B1   ,201809160757,83,1001001009
TPK ,B1   ,201809160758,126,1001001009
TPK ,B1   ,201809160759,146,1001001009
TPK ,B1   ,201809160800,67,1001001009
TPK ,B1   ,201809160801,92,1001001009
TPK ,B1   ,201809160802,86,1001001009
TPK ,B1   ,201809160803,91,1001001009
TPK ,B1   ,201809160804,61,1001001009
TPK ,B1   ,201809160805,74,1001001009
TPK ,B1   ,201809160806,167,1001001009
TPK ,B1   ,201809160807,121,1001001009
TPK ,B1   ,201809160808,95,1001001009
TPK ,B1   ,201809160809,110,1001001009
TPK ,B1   ,201809160810,95,1001001009
TPK ,B1   ,201809160811,109,1001001009
TPK ,B1   ,201809160812,110,1001001009
TPK ,B1   ,201809160813,100,1001001009
TPK ,B1   ,201809160814,48,1001001009
TPK ,B1   ,201809160815,48,1001001009
TPK ,B1   ,201809160816,89,1001001009
TPK ,B1   ,201809160817,90,1001001009
TPK ,B1   ,201809160818,90,1001001009
TPK ,B1   ,201809160819,79,1001001009
TPK ,B1   ,201809160820,118,1001001009
TPK ,B1   ,201809160821,77,1001001009
TPK ,B1   ,201809160822,55,1001001009
TPK ,B1   ,201809160823,88,1001001009
TPK ,B1   ,201809160824,107,1001001009
TPK ,B1   ,201809160825,98,1001001009
TPK ,B1   ,201809160826,97,1001001009
TPK ,B1   ,201809160827,92,1001001009
TPK ,B1   ,201809160828,98,1001001009
TPK ,B1   ,201809160829,83,1001001009
TPK ,B1   ,201809160830,60,1001001009
TPK ,B1   ,201809160831,80,1001001009
TPK ,B1   ,201809160832,58,1001001009
TPK ,B1   ,201809160833,106,1001001009
TPK ,B1   ,201809160834,71,1001001009
TPK ,B1   ,201809160835,84,1001001009
TPK ,B1   ,201809160836,80,1001001009
TPK ,B1   ,201809160837,74,1001001009
TPK ,B1   ,201809160838,109,1001001009
TPK ,B1   ,201809160839,113,1001001009
TPK ,B1   ,201809160840,90,1001001009
TPK ,B1   ,201809160841,81,1001001009
TPK ,B1   ,201809160842,70,1001001009
TPK ,B1   ,201809160843,121,1001001009
TPK ,B1   ,201809160844,125,1001001009
TPK ,B1   ,201809160845,89,1001001009
TPK ,B1   ,201809160846,102,1001001009
TPK ,B1   ,201809160847,132,1001001009
TPK ,B1   ,201809160848,115,1001001009
TPK ,B1   ,201809160849,113,1001001009
TPK ,B1   ,201809160850,142,1001001009
TPK ,B1   ,201809160851,133,1001001009
TPK ,B1   ,201809160852,107,1001001009
TPK ,B1   ,201809160853,98,1001001009
TPK ,B1   ,201809160854,104,1001001009
